text,label
Vaccines prevent infectious diseases by stimulating the immune system,1
Regular exercise improves cardiovascular health and reduces disease risk,1
Vitamin D deficiency increases the risk of respiratory infections,1
Handwashing reduces the spread of infectious diseases,1
Antibiotics are effective against bacterial infections,1
A balanced diet supports overall health and immunity,1
Drinking enough water maintains bodily functions,1
Sleep is essential for cognitive function and physical health,1
High blood pressure increases the risk of heart disease,1
Diabetes affects how the body regulates blood sugar levels,1
Physical activity reduces the risk of obesity,1
Smoking increases the risk of lung cancer and heart disease,1
Fruits and vegetables provide essential vitamins and minerals,1
Vaccines undergo rigorous testing before approval,1
Regular checkups help detect diseases early,1
Mental health is an important component of overall well-being,1
Sunlight exposure helps the body produce vitamin D,1
Proper hygiene reduces infection risk,1
Obesity increases the risk of chronic diseases,1
Exercise improves mental health and reduces stress,1
COVID-19 vaccines reduce severity of illness,1
Mask wearing reduces transmission of respiratory infections,1
Antiviral drugs help manage viral infections,1
Insulin regulates blood sugar levels,1
Fiber improves digestive health,1
Calcium is important for bone health,1
Protein supports muscle growth and repair,1
Cholesterol levels affect heart health,1
Regular hydration supports kidney function,1
Vaccination contributes to herd immunity,1

Vaccines cause autism in children,0
Drinking lemon water cures COVID-19 completely,0
Herbal oils can cure cancer instantly,0
Eating garlic cures all infections overnight,0
Drinking bleach kills viruses inside the body safely,0
All natural remedies are safer than modern medicine,0
COVID-19 is caused by 5G networks,0
Home remedies can replace all medical treatments,0
Vaccines contain harmful microchips,0
Cancer can be cured with diet alone,0
Antibiotics cure viral infections like the flu,0
Drinking hot water kills coronavirus instantly,0
Essential oils can replace antibiotics,0
Sugar directly causes all chronic diseases,0
Doctors hide natural cures from the public,0
Herbal tea can cure diabetes permanently,0
Vaccines weaken the immune system permanently,0
Medical science is unnecessary for treating diseases,0
All diseases can be cured with detox diets,0
COVID-19 vaccines alter human DNA permanently,0
Fasting alone can cure cancer,0
Wearing masks causes oxygen deficiency in healthy individuals,0
Drinking alcohol kills viruses in the bloodstream,0
Natural immunity makes vaccines unnecessary for everyone,0
Eating raw foods prevents all diseases,0
Modern medicine is a global conspiracy,0
Vaccines are more dangerous than diseases they prevent,0
All infections can be cured without medication,0
Drinking herbal mixtures cures viral infections instantly,0
Cancer treatments are ineffective compared to home remedies,0